-agu:-ugaseru
ひろまる	広まる	ひろめる	広める
きわまる	極まる	きわめる	極める
きわまる	窮まる	きわめる	窮める
よわまる	弱まる	よわめる	弱める
うわる	植わる	うえる	植える
おわる	終わる	おえる	終える
すりかわる	すりかわる	すりかえる	すりかえる
かわる	代わる	かえる	代える
かわる	変わる	かえる	変える
かわる	換わる	かえる	換える
かわる	替わる	かえる	替える
たずさわる	携わる	たずさえる	携える
まじわる	交わる	まじえる	交える
すわる	すわる	すえる	すえる
すわる	据わる	すえる	据える
よこたわる	横たわる	よこたえる	横たえる
つたわる	伝わる	つたえる	伝える
そなわる	そなわる	そなえる	そなえる
そなわる	備わる	そなえる	備える
そなわる	具わる	そなえる	具える
くわわる	加わる	くわえる	加える
-eru:-aseru
ふるえる	震える	ふるわせる	震わせる
そばだてる	そばだてる	そばだたせる	そばだたせる
からめる	からめる	からませる	からませる
からめる	絡める	からませる	絡ませる
とぎれる	途切れる	とぎらせる	途切らせる
まぎれる	まぎれる	まぎらせる	まぎらせる
まぎれる	紛れる	まぎらせる	紛らせる
おくれる	後れる	おくらせる	後らせる
おくれる	遅れる	おくらせる	遅らせる
ふくれる	ふくれる	ふくらせる	ふくらせる
ふくれる	膨れる	ふくらせる	膨らせる
こじれる	こじれる	こじらせる	こじらせる
こじれる	拗れる	こじらせる	拗らせる
じれる	じれる	じらせる	じらせる
じれる	焦れる	じらせる	焦らせる
それる	それる	そらせる	そらせる
それる	逸れる	そらせる	逸らせる
-eru:-asu
ふるえる	震える	ふるわす	震わす
あける	あける	あかす	あかす
あける	明ける	あかす	明かす
かける	欠ける	かかす	欠かす
こける	こける	こかす	こかす
すける	すける	すかす	すかす
すける	透ける	すかす	透かす
とける	とける	とかす	とかす
とける	溶ける	とかす	溶かす
とける	熔ける	とかす	熔かす
とける	融ける	とかす	融かす
とける	解ける	とかす	解かす
ばける	化ける	ばかす	化かす
ふける	更ける	ふかす	更かす
ぼける	ぼける	ぼかす	ぼかす
まける	負ける	まかす	負かす
ふやける	ふやける	ふやかす	ふやかす
ぼやける	ぼやける	ぼやかす	ぼやかす
おちゃらける	おちゃらける	おちゃらかす	おちゃらかす
わらける	笑ける	わらかす	笑かす
とろける	とろける	とろかす	とろかす
とろける	蕩ける	とろかす	蕩かす
こげる	焦げる	こがす	焦がす
にげる	逃げる	にがす	逃がす
はげる	はげる	はがす	はがす
はげる	剥げる	はがす	剥がす
ころげる	転げる	ころがす	転がす
はてる	はてる	はたす	はたす
はてる	果てる	はたす	果たす
でる	出る	だす	出す
のべる	のべる	のばす	のばす
のべる	伸べる	のばす	伸ばす
のべる	延べる	のばす	延ばす
さめる	さめる	さます	さます
さめる	冷める	さます	冷ます
さめる	覚める	さます	覚ます
さめる	醒める	さます	醒ます
からめる	絡める	からます	絡ます
あれる	荒れる	あらす	荒らす
かれる	かれる	からす	からす
かれる	嗄れる	からす	嗄らす
かれる	枯れる	からす	枯らす
かれる	涸れる	からす	涸らす
きれる	切れる	きらす	切らす
まぎれる	まぎれる	まぎらす	まぎらす
まぎれる	紛れる	まぎらす	紛らす
おくれる	後れる	おくらす	後らす
おくれる	遅れる	おくらす	遅らす
ふくれる	ふくれる	ふくらす	ふくらす
ふくれる	膨れる	ふくらす	膨らす
くれる	暮れる	くらす	暮らす
しれる	知れる	しらす	知らす
こじれる	こじれる	こじらす	こじらす
こじれる	拗れる	こじらす	拗らす
じれる	じれる	じらす	じらす
じれる	焦れる	じらす	焦らす
ずれる	ずれる	ずらす	ずらす
それる	それる	そらす	そらす
それる	逸れる	そらす	逸らす
たれる	たれる	たらす	たらす
たれる	垂れる	たらす	垂らす
