-aru:-eru
#かかる	かかる	かける	かける
きりかわる	切り替わる	きりかえる	切り替える
さしかわる	差し替わる	さしかえる	差し替える
すげかわる	すげ替わる	すげかえる	すげ替える
すりかわる	すり替わる	すりかえる	すり替える
すりかわる	摺り替わる	すりかえる	摺り替える
たてかわる	建て替わる	たてかえる	建て替える
ぬりかわる	塗り替わる	ぬりかえる	塗り替える
のりかわる	乗り替わる	のりかえる	乗り替える
ふりかわる	振り替わる	ふりかえる	振り替える
#くわわる	加わる	くわえる	加える
つけくわわる	つけ加わる	つけくわえる	つけ加える
つけくわわる	付け加わる	つけくわえる	付け加える
-eru:-asu
#あける	明ける	あかす	明かす
うちあける	打ち明ける	うちあかす	打ち明かす
#とける	溶ける	とかす	溶かす
にとける	煮溶ける	にとかす	煮溶かす
#まける	負ける	まかす	負かす
いいまける	言い負ける	いいまかす	言い負かす
#こげる	焦げる	こがす	焦がす
やきこげる	焼き焦げる	やきこがす	焼き焦がす
やけこげる	焼け焦げる	やけこがす	焼け焦がす
#でる	出る	だす	出す
あふれでる	あふれ出る	あふれだす	あふれ出す
あふれでる	溢れ出る	あふれだす	溢れ出す
あゆみでる	歩み出る	あゆみだす	歩み出す
うかびでる	浮かび出る	うかびだす	浮かび出す
うきでる	浮き出る	うきだす	浮き出す
おきでる	起き出る	おきだす	起き出す
かけでる	駆け出る	かけだす	駆け出す
かもしでる	かもし出る	かもしだす	かもし出す
かもしでる	醸し出る	かもしだす	醸し出す
こぎでる	こぎ出る	こぎだす	こぎ出す
こぎでる	漕ぎ出る	こぎだす	漕ぎ出す
こぼれでる	こぼれ出る	こぼれだす	こぼれ出す
こぼれでる	零れ出る	こぼれだす	零れ出す
さしでる	差し出る	さしだす	差し出す
しみでる	しみ出る	しみだす	しみ出す
しみでる	染み出る	しみだす	染み出す
すすみでる	進み出る	すすみだす	進み出す
すべりでる	すべり出る	すべりだす	すべり出す
すべりでる	滑り出る	すべりだす	滑り出す
せりでる	せり出る	せりだす	せり出す
せりでる	迫り出る	せりだす	迫り出す
つきでる	突き出る	つきだす	突き出す
とけでる	溶け出る	とけだす	溶け出す
とけでる	融け出る	とけだす	融け出す
